Country,Very happy,Quite happy,Not very happy,Not at all happy,Not know
Argentina,28.8,52.8,14.9,2.4,1.1
Australia,42.8,51.5,4.4,1,0.3
Brazil,22,60.9,14.9,2.1,0.1
Bulgaria,9,46.5,32.7,8.7,3.1
Chile,27,52.7,19.2,0.7,0.4
China,22.7,60.9,14.1,1.7,0.6
Taiwan,29.7,60.9,7.3,1.5,0.3
Colombia,47.1,37.2,14.7,1,0
Georgia,11.6,53.6,29.1,5.2,0.4
India,29.9,46,19.8,2.8,1.5
Japan,32.5,56.5,8.9,0.6,1.4
South Korea,11.9,76.9,10.1,1,0.1
Mexico,31.5,38.1,26.3,2.6,1.5
New Zealand,32.8,61.5,4.3,0.6,0.1
Pakistan,27.9,51.2,16.9,4,0
Peru,28.2,34.7,35.1,1.2,0.8
Philippines,40.2,52.2,6.3,1.1,0.1
Poland,18.3,67,11.5,2.5,0.7
Romania,5.1,51,35.2,7.1,1.6
Russia,6.1,44.1,40.3,7.6,1.9
Slovenia,13.4,60.4,22.5,2.8,0.9
South Africa,35.3,37.1,21.7,5.6,0.3
Spain,18.7,67.8,12.2,0.9,0.3
Sweden,39.2,54.7,4.1,0.8,1.2
Turkey,51,37.3,9.4,2.1,0.1
Ukraine,4.9,40.9,40.9,8.4,4.8
United States,46.3,47.5,5.3,0.5,0.4
Uruguay,20.6,58.8,17.6,2.4,0.6
Serbia,13.9,56,24.5,4.5,1.1
