Country,None,Primary incomplete,Primary,Secondary technical/vocational incomplete,Secondary technical/vocational,Secondary university preparatory incomplete,Secondary university preparatory,Some university education,University degree
Argentina,0.4,9.9,24.6,18.9,20.1,2.6,11.2,5.5,6.8
Australia,0,1.1,3.9,21.1,9.2,22.6,8.1,24.8,7.5
Brazil,1.7,11.1,18.3,13,8.5,19.2,15.7,5.2,7.3
Bulgaria,2,9.7,23.4,2.7,29.4,1.4,13.7,5.4,12
Chile,1.2,6,8.1,19.6,33.4,4.3,4.9,9.4,12
China,10.1,10.9,18.5,8.8,22.5,4.9,16,4.1,3.9
Taiwan,5.8,4.7,22.8,4,12.2,2.4,7.9,10.6,29.2
Colombia,5.4,17,12.7,3.5,1.9,19,16.1,8.1,15.4
Georgia,0.1,0.4,7.6,6.6,20.8,4.3,39.6,2.8,17.8
India,26.3,5,10,12.8,10.5,4.1,7.4,4.7,18.3
South Korea,2.6,0,9.4,0,0,11.6,39.8,11,25.5
Mexico,4,8.9,13,7,17.9,13.3,12.3,11.2,11.5
New Zealand,2.2,0,5.5,31.2,22.6,0,0,17.6,16.8
Pakistan,38.4,6.3,16.2,5.6,9.3,1.4,6,9.3,7.6
Peru,1.2,7.8,9.5,11.2,23.7,10,12.6,10.2,13.5
Philippines,0.8,12.8,12.8,1.6,4.1,13.2,19.1,18.2,17.5
Poland,0.4,6.2,29,25.9,16.7,2.2,6.9,6.2,6.6
Romania,1.2,7.5,11.9,2.3,15.8,4.4,40.2,2.3,13.6
Russia,0.7,3.4,12.6,3.9,31.8,6.8,19.8,2.9,18.1
Slovenia,1.2,6.1,22.7,7.8,38.8,1,6.3,6.9,8.9
South Africa,10.8,19.7,10.5,0,0,34,14.3,2,8.6
Spain,8.7,20.9,30.7,4,7.2,2.9,9.1,3.1,12.9
Sweden,0.3,0,25.8,0,6.9,21.1,16,7.3,22
Turkey,10.2,4.7,48.5,10.9,2,12.4,0.5,1.5,7.4
Ukraine,0.6,2.8,9.9,6.2,35.6,4.3,18.9,2.5,18.7
United States,0.2,2.6,7.4,7.2,24.9,5,8.9,22.3,21
Uruguay,2.2,22.2,19.6,14.5,11.6,7,14.1,3.3,5.4
Serbia,3.1,13.4,17.9,8.6,29.7,0.6,4.9,4.1,16.6
