Country,None,1 child,2 children,3 children,4 children,5 children,6 children,7 children,8 + children
Argentina,28.7,14.4,23.3,17.3,8.3,3.4,2.1,1.1,1.5
Australia,36.7,10,24.5,16.4,7.4,2.6,1,0.4,0.7
Brazil,32.4,15.4,21.1,14.9,6.6,4,1.5,1.6,2.5
Bulgaria,18.8,22.5,47.9,7.7,1.8,0.7,0.1,0.1,0
Chile,24.9,16.3,22.8,17.3,9.4,4.5,1.8,1,1.4
China,17.7,29.1,28.3,12.5,6.5,3.1,1.2,0.2,0.5
Taiwan,21.3,7.6,23.8,26.9,12.2,4.4,2.7,0.9,0.3
Colombia,29.1,17.3,21.1,13.5,8,4.3,2.4,1.4,2.7
Georgia,30.8,19,32.7,13.3,3.1,0.7,0.3,0,0
India,21.5,12.3,18.3,19.7,14.2,6.9,2.1,1.1,0.5
Japan,23.2,11.9,40.5,18.9,3.4,0.9,0.2,0,0.2
South Korea,28.2,13.3,29.2,14.2,7.1,2.6,1.2,0.9,0.2
Mexico,28.8,13.4,17.3,11.2,9.8,6.5,3.9,2,3.2
New Zealand,21.6,11.1,25.7,20.9,11.6,4.1,1.7,0.7,0.7
Pakistan,22.1,8,8.6,10.6,11.7,10.5,7.1,6.4,8.4
Peru,30.8,15.6,17.3,14.5,7.5,4.8,3.4,1.8,2.5
Philippines,31.3,10.5,14.2,14.1,12.8,6.2,4.4,2.4,4.1
Poland,21.9,16.3,29.8,16.7,7.8,3.6,1.8,1,1
Romania,27.4,27.4,29.2,9.2,4,1.1,0.4,0,0.2
Russia,14.7,31.9,40.5,8.9,2.4,1.1,0.1,0.1,0
Slovenia,27.2,18.1,37.5,12.6,2.8,0.5,0.5,0,0.1
South Africa,24.3,14.5,20.1,16.3,10.6,6.3,3,1.8,2.1
Spain,32.2,14.4,25.4,14.3,7.2,3,1.2,1.2,0.7
Sweden,28.5,14.3,35.1,15.9,4.1,0.8,0.3,0.1,0
Turkey,15.7,11.6,20.5,13.7,10,6.9,4.3,4,5.1
Ukraine,15,27.8,44.2,9.4,1.9,0.8,0.2,0.1,0
United States,25.4,14,26.7,15.4,10.2,4.2,1.6,1.2,1.1
Uruguay,22.9,17.1,27.2,15.1,6.9,5.1,2,1,2.3
Serbia,25.5,20.7,42.4,7.7,1.9,0.9,0.1,0.2,0.2
