Country,No choice at all,2,3,4,5,6,7,8,9,A great deal of choice,Not know
Argentina,2.3,0.8,2.3,3.8,16,9.7,15.1,17.4,9.9,18.8,4
Australia,0.9,1.2,1.8,3.3,8.5,8.3,17.3,23.7,15.6,18.5,0.9
Brazil,3.1,1.7,3.2,3.4,13.8,8.8,10.6,14.3,6.9,33.4,0.6
Bulgaria,7.5,5.8,10.2,10.3,17.7,12,9.7,9.5,4.5,4.6,8.3
Chile,0.9,1.4,2.6,4.5,12.8,16.4,14.3,17.1,12,17.4,0.5
China,5.5,3.2,3.3,4.3,12.5,11.1,13.3,15.5,7.9,20.3,3.2
Taiwan,0.8,0.5,1.8,2.3,11.7,14.6,15.5,21.2,12.2,18.8,0.5
Colombia,1.2,1,3,3,6.2,7.4,10.5,21.5,18.8,27.4,0
Georgia,8.2,3.5,5.9,6.8,15.4,9.7,13.4,13.6,5.8,15,2.6
India,5.6,1.8,3.3,3.6,11.7,10.9,11.2,13,9.7,12.1,17.1
Japan,3.2,1.7,6.7,7.8,19.4,25,13.9,11.9,2.8,1.8,5.9
Mexico,2.8,1.4,2.5,3.9,8.1,6.8,10.7,21.3,19.1,21.4,2.1
New Zealand,1,0.4,2.2,3.2,5.7,7.7,13,23.7,14.3,24.1,2
Peru,2.9,1.3,2.6,5.5,18.6,9.8,12.2,15.6,9.3,16.3,5.9
Philippines,2.1,1.8,1.1,2.8,20.3,15.3,12.6,15.4,7.3,21.2,0.1
Romania,5,3.9,7,6.6,15.5,8.2,12.3,16.4,12.1,8.7,4.2
Russia,7.8,5.3,9.3,9.7,21.3,9.4,9.5,10.2,4.8,7,5.7
Slovenia,2.2,1.2,4.4,5.1,16.4,12,12.6,19.4,11.2,14.7,0.9
South Africa,6.3,3,5.3,7.5,18.4,10.8,10.8,14,7.6,14.3,2
Spain,1.1,2.2,5.2,7.7,19.9,17.2,20.8,1.6,10.4,10.3,3.8
Sweden,0.6,0.7,2.1,3,10.4,11,23.1,26.2,10.3,11.7,1
Turkey,36.1,4.8,3.7,3.2,19.1,3.8,5,5.9,2.7,14.5,0
Ukraine,10.1,5.3,9,8.3,18.4,9.3,7.9,10,4.9,4.4,12.2
United States,1.1,0.7,2,3.7,9.3,9.7,14.6,23.2,13.7,21.4,0.7
Uruguay,2.5,1,4.7,5.5,16.5,8.8,13.3,16.4,8.1,21.3,1.9
Serbia,5.6,4,5.8,8.3,18.8,9.1,12.3,13.1,7,11.4,4.7
