Country,Very proud,Quite proud,Not very proud,Not at all proud,I am not [nationality],Not know,,
Argentina,54.2,28.4,8.2,2.6,4.8,1.9,,
Australia,69.9,22.9,2.1,0.4,4.1,0.6,,
Brazil,64.2,19.2,14.2,1.9,0.3,0.3,,
Bulgaria,45.6,30.9,10.4,3.1,7.3,2.7,,
Chile,54.7,31.8,11.6,1.1,0.2,0.5,,
China,39,47.4,9.9,1.5,0,2.2,,
Taiwan,13.8,52.6,20.8,5.8,0,6.9,,
Colombia,84.5,12.2,2.2,0.8,0,0.2,,
Georgia,63.8,29.4,4.3,1.1,0.3,1,,
India,69.6,18.1,7.1,1.2,0,4,,
Japan,25.3,34.7,34.5,2.8,0,2.7,,
Mexico,71.5,19.4,5,0.8,0.1,3.2,,
New Zealand,60.4,29,2.4,0.9,4.8,1,,
Pakistan,86.5,11,2.1,0.4,0,0,,
Peru,79.5,14.7,4,0.8,0.2,0.7,,
Philippines,74,20.5,2.8,2.6,0.1,0,,
Poland,68.8,26.6,2.1,0.8,0.4,1.3,,
Romania,43.7,37.9,13.2,1.9,0.2,3.1,,
Russia,29.3,39.4,20.6,6.9,0.4,3.5,,
Slovenia,57.3,29,6.8,1.2,4.8,1,,
South Africa,81.9,13.6,3.1,0.5,0.7,0.3,,
Spain,63.8,26.1,4.5,3,1,1.5,,
Sweden,44.1,41,9.3,1.2,2.8,1.6,,
Turkey,81.1,12.6,3.5,1.3,0,0.6,,
Ukraine,22.6,38.3,18.4,11.2,0.2,9.3,,
United States,76.7,19.6,1.5,0.3,1,0.8,,
Uruguay,72.4,19.7,3.3,1.7,0,2.9,,
Serbia,38.4,32.5,18.9,4.5,2.2,3.5,,
