Country,Very happy,Quite happy,Not very happy,Not at all happy,Not know
Argentina,33,48.4,15.5,2.4,0.7
Chile,36,43.9,18.9,0.6,0.6
China,11.5,66.3,19,2.8,0
India,25.3,47.6,20.9,4.5,1.7
Japan,27.8,58.7,9.9,0.6,3
South Korea,9.6,78.1,10.7,1.7,0
Mexico,56.5,34.5,7.2,1,0.8
Pakistan,19.6,56,20.5,2.6,1.3
Peru,30.8,35.3,32.1,1.6,0.2
Philippines,38.4,49.2,11.7,0.6,0.1
Singapore,28.7,66.1,4.6,0.4,0.2
South Africa,38.5,38.8,18.4,4.2,0.1
Spain,20.1,66.9,11,1.4,0.6
Sweden,36.6,56.8,4.8,1.5,0.3
Turkey,34.5,42.5,14,8.9,0.1
United States,39,54,5.8,0.5,0.7
Serbia,12,61.5,20.8,3.8,1.9
