Country,None at all,2,3,4,5,6,7,8,9,A great deal,Not know
Argentina,2.3,1,2.6,5.2,11.4,7.6,12.6,15.2,9,28.1,4.9
Chile,1.5,1.1,2.8,3.4,12.7,13.5,18.8,15.6,10.7,18.7,1.2
China,2.5,2.6,6.4,3.5,8.8,9.7,11.9,15.3,8.4,24.4,0.1
India,8.3,0,21,0,0.1,37.4,0,0,0.1,18.6,14.4
Japan,3.3,1.8,5.1,6.2,15.1,26.2,16.5,13.7,3.7,2.9,5.6
South Korea,2.2,1.6,3.6,3.9,12.1,10.8,14.4,16.4,8.5,20.8,5.8
Mexico,2.2,0.5,2.2,1.8,6.4,5.8,7.4,13.7,9.8,40.8,9.4
Pakistan,3.4,4.8,9.8,13.5,22.2,14.4,4.7,2.5,1,0.1,23.5
Peru,2.9,1.8,2.8,4.2,13.1,10.3,12.7,16.7,8.3,25.5,1.8
Philippines,2.5,1.3,2.9,4.9,18.8,14.7,13.3,15.9,7.1,18,0.4
Singapore,0.3,0.6,2,4.6,9.7,13.9,25.3,26.6,9.2,7.5,0.2
South Africa,3.9,2.3,4.2,6.8,18.3,9.1,10.1,14.3,7.6,22.3,1.1
Spain,1,1.8,2.8,3.6,15.7,17.2,20.3,17.4,7.7,8.8,3.9
Sweden,0.4,0.8,1.9,3.2,10.8,8.8,20,26.6,12.1,14.7,0.6
Turkey,25.7,5.5,4.7,3.8,15.5,6.9,6,7.6,5.5,18.6,0
United States,0.4,1,1.5,1.5,6.7,7.1,13.5,24.7,19.1,24.5,0.1
Serbia,5.2,4.3,7.2,7.3,19.8,9.9,12.2,12.9,7.4,9.8,4.1
