Country,Incomes should be made more equal,2,3,4,5,6,7,8,9,We need larger income differences as incentives,Not know
Argentina,26.8,5.4,6.1,4.7,13.9,6.2,6.6,9.6,3.4,14.2,3.1
Chile,33.1,8.2,9.2,8.4,11,7.4,5.2,6.6,1.9,8,1.1
China,10.1,7.7,6.3,2.7,7.8,5.5,8.2,16.8,7.7,18.1,0
India,39,0,4.9,0,12.2,0,7.9,0,0.2,16.5,19.1
Japan,6.5,2.1,6.8,5.3,16.1,22.5,15.3,9.8,2.1,5.2,8.4
South Korea,6.7,4.2,6.9,7.1,8,7.2,16.2,17.8,7.3,18.5,0.2
Mexico,32.5,3.2,3.2,3.1,9.4,4.7,5.4,6.7,3.1,20.6,8.3
Pakistan,18.2,4.2,10.7,5.7,19.7,6.4,5.4,1.8,1,0,27
Peru,8.1,1.1,1.9,2.7,8,7.8,10.1,13,7.5,38.8,1.2
Philippines,7.3,3.5,4.8,5.9,15.9,11.8,9.5,13.3,7.5,20.1,0.3
Singapore,3.8,0.4,3.6,4.6,11.7,13.1,16.6,24.5,11.5,9.8,0.4
South Africa,16.8,8.5,9.4,5.9,14.6,5.7,6.5,7,7.8,17.4,0.4
Spain,15.5,8.1,10.1,8.6,12.2,8.7,8.3,13.8,4.8,7.3,2.6
Turkey,35.4,8.4,8.3,5.3,11.7,4.1,4.3,7.2,3.4,11.6,0
United States,10,4.2,6.3,9.2,14.3,12.4,15.7,15.1,5.4,7.1,0.3
Serbia,12.2,6.3,8.8,5.8,10.4,6.9,10.6,14.2,6.6,13.6,4.6
