Country,Married,Living together as married,Divorced,Separated,Widowed,Single,Living apart while married/cohabitation
Argentina,47.5,11,2,5.3,7.9,26.3,0
Chile,56.5,8.5,0.9,5.4,5.6,22.9,0
China,86.9,0.3,0.9,0.1,2.2,9.3,0
India,78.3,6.8,0.3,0.5,4.8,9.2,0
Japan,72.1,1.2,2.9,0.8,4,17.6,0
South Korea,68.6,0.6,1.2,0.5,2.2,26.9,0
Mexico,60.8,6.3,1.6,2.7,5.4,22.8,0
Pakistan,66,0,0,0,1.6,32.4,0
Peru,41,16.9,1.1,4.1,1.8,34.7,0
Philippines,74.1,2.2,0.4,1,4.1,18.3,0
Singapore,45.1,0.1,1.5,0.5,1.6,51.2,0
South Africa,38,10.9,2.1,1.1,4.3,43.5,0
Spain,55.3,4.3,1.5,2.2,8,28.6,0
Sweden,46.9,15,7.1,0,3.1,22.5,5.2
Turkey,72.7,0.3,0.9,0.3,3.5,22.1,0
United States,48.2,7.3,10.7,2.6,4.1,27.2,0
Serbia,63.6,2.3,5,0.9,9.4,18.8,0
