Country,Very proud,Quite proud,Not very proud,Not at all proud,Not know,Not applicable
Argentina,61.1,30.7,3.5,1.3,0.6,2.1
Australia,68.7,26.6,3.2,0.6,0,0
Brazil,39,44.2,10.1,6,0.1,0.3
Bulgaria,39,34,12.3,4.8,6.3,3.4
Chile,58.6,34.2,4.9,1.4,0.2,0.2
China,22.4,55,16.2,4.5,1.4,0
Taiwan,13.2,47.1,29.4,10.2,0,0.1
Colombia,90.1,8,1.2,0.4,0.2,0.1
Georgia,75.5,21.5,1.8,0.5,0.5,0
India,68.8,21.4,3.8,0.5,4.9,0.4
Japan,20.9,36.5,33,3.6,0,0.1
South Korea,19,69.6,10.1,1.2,0,0
Mexico,82.9,12.4,3.8,0.9,0.1,0
New Zealand,66.4,23.9,2.2,0.7,0.7,3.7
Poland,62.1,33.6,3.2,0.9,0.1,0.1
Romania,37.4,44.7,13.3,2.1,1.1,0.1
Russia,44.2,36.7,12.5,3.1,2.6,0.6
Serbia,42,32.5,10.7,1.5,3.4,7.7
Slovenia,54.8,31.8,8,1.4,0.9,2.1
South Africa,77.7,17.7,3.5,0.3,0,0.8
Spain,58.3,33.7,3.8,1.5,0.9,0.7
Sweden,40.4,43.5,9.2,1.9,0,3
Turkey,76.3,14.2,2.8,0.6,0.5,5.4
Ukraine,30.3,39.2,15.6,6.6,2.8,3.3
United States,62.3,25.4,7,0.8,0,0
Uruguay,73.4,19.4,2.9,1.2,0,0
