Country,Married,Living together as married,Divorced,Separated,Widowed,Single/Never married
Argentina,41,15.1,2.8,5.4,9.3,26.4
Australia,59.6,7.7,6.5,3.2,6.8,15.2
Brazil,41.6,16.6,3.4,5.6,5.8,26.8
Bulgaria,63.9,5.4,4.7,0.9,11.6,13.3
Chile,48.6,8.7,1.2,6.3,8.8,26.1
China,79,1.2,1.2,0.6,2.7,14.5
Taiwan,63.1,0.3,3.4,0.5,5.1,27.7
Colombia,27.6,31.4,0,4.9,3.7,32.3
Georgia,67,0.5,2.1,1.1,10,19.2
India,80.5,3.9,0.2,0.3,4.2,10.7
Japan,72.4,1.7,3,0.5,4.7,17.1
South Korea,67.3,0.4,1.6,0.5,5.2,25
Mexico,54.7,10.4,1.9,4.5,5.3,23.1
New Zealand,58.7,9.9,4.4,3.8,5.3,14.8
Peru,35.8,24.6,0.7,3.3,3.6,31.9
Poland,58.1,2.6,4,0.8,8.8,25.7
Romania,67.6,2.8,3,0.3,12.6,13.5
Russia,54.8,6.1,6.8,0.8,11.2,19
Serbia,59.6,4.1,4.4,0.7,6.4,21.9
Slovenia,50.7,13.5,2.2,3.4,8.6,21.2
South Africa,35.1,10.6,2,1.1,6.2,44.9
Spain,58.2,4.5,1.5,2,7.7,25.7
Sweden,46.5,17.5,8.8,4.6,3.7,18.4
Turkey,66.4,0.1,1.4,0.2,2.3,29.6
Ukraine,55.9,3.9,6.5,1.5,13.4,18
United States,53.6,0,12.8,2.8,5.7,25.1
Uruguay,41.7,15.4,7.3,2.2,10.6,22.8
