Country,None, Primary incomplete,Primary,Secondary technical/vocational incomplete,Secondary technical/vocational,Secondary university preparatory incomplete,Secondary university preparatory,Some university education,University degree
Argentina,0.6,5.9,19.2,6.7,7.3,19.8,27.3,8.2,4.9
Australia,0.5,1.4,1.2,17.2,14.6,3.9,6.9,5.7,19.2
Brazil,0.6,31.9,12.2,0.8,2.2,9,25.9,6.6,10.3
Chile,2,6.4,5.9,11.6,38.6,4.7,10.8,7.5,12.5
China,5.9,0,19.5,0,46.5,0,16.5,0,11.6
Taiwan,3.8,1.6,10.2,0.6,12.3,4,23.1,6.1,38.3
Colombia,3,12.2,11.8,5.4,7.5,12.8,20,12.2,14.2
Georgia,0,0.5,0.7,1.5,23.9,4.2,30.7,2.4,36.1
India,24.8,9.4,11.8,13.7,14.4,2.4,10,2.7,10.5
Japan,0,0,11.7,1.3,11.1,3.9,46.5,1.4,22
South Korea,1.9,2.8,12.5,4.1,6.5,2.4,32.3,11.3,26.3
Mexico,3.6,11.2,14.9,5,23.8,8.1,14.6,5.6,13.2
New Zealand,1.5,0,1.4,0,0,24.9,17.8,21.6,28.7
Pakistan,23,3,12.9,23.3,20,1.8,8.7,2.1,5.2
Peru,2.5,6.6,8,10.8,26.6,7.5,13.8,11.1,13
Philippines,2.2,11.5,17.2,7.7,11.5,8,14.5,14.5,12.8
Poland,0.1,1.4,16.2,26.6,20.5,3.5,9.1,4.6,17.8
Romania,1.2,2.4,6.7,2.6,19,17.9,24.6,8.8,15.9
Russia,0.1,0.3,1.2,4.9,39.4,7.4,14.7,5.8,25.9
Singapore,7.2,10,7.6,10.5,20.1,11.2,9.2,3.4,19.9
Slovenia,0.5,3.6,15,4,41.3,0.6,7.4,10.4,16.7
South Africa,2.4,4.4,6.1,7.2,7.8,25.7,36.6,4.8,4.2
Spain,1,6.1,44.3,0,13.1,12.5,7,8.4,7.2
Sweden,0.4,1,8.6,1.8,12.1,23,19.8,12.9,18.6
Turkey,7.8,6.1,30,3.1,13.9,4.6,20.2,3.2,11.1
Ukraine,0,4.7,0,0,30.9,4.9,26.5,4.8,28.3
United States,0.4,0.5,1.5,0,0,11.2,30.6,19.7,36.1
Uruguay,0.6,11.1,25.8,18.8,11.5,11.7,8.4,5.9,6.1
