Country,Very proud,Quite proud,Not very proud,Not at all proud,I am not [nationality],Not know
Argentina,48.6,40.7,5.2,2.6,2,0.5
Australia,70.3,25.3,3.1,0.9,0,0
Brazil,34.2,43,16,5.9,0.4,0.3
Chile,49.1,43.8,5.7,0.5,0.5,0.1
China,22.2,56.4,8.5,0.7,0,0
Taiwan,15.3,51.6,22.1,5.2,0.1,5.6
Colombia,80,16.8,2.9,0.1,0.1,0
Georgia,76.2,19.9,2.7,0.9,0.2,0.2
India,69.2,26,2.5,0.2,0.1,1.9
Japan,25.1,40.2,24.1,1.9,0,8.6
South Korea,23.6,65.3,7.1,1.9,0,0
Mexico,84,11.2,3.6,1.1,0,0.1
New Zealand,63.1,26.3,1.9,1.3,5,0.6
Pakistan,78.5,15.9,3.5,0.5,0,0.1
Peru,62.2,30.6,5.9,0.8,0.2,0.3
Philippines,85.1,12.8,1.5,0.5,0.1,0
Poland,59.7,34.8,3.2,0.8,0.2,1.1
Romania,43,39.6,14.3,1.9,0.1,0.6
Russia,28.6,47.5,14.7,3.8,0.4,4.4
Singapore,48.4,40.9,9.1,1.4,0.1,0
Slovenia,48.7,36.1,8.2,2,4.3,0.4
South Africa,61.5,28,6.7,1.7,1.4,0.8
Spain,55.2,31.3,5.3,2.4,1.5,1.8
Sweden,39.7,41.9,9.2,2.3,4.1,1.5
Turkey,75.3,16,1.9,0.7,5.6,0.2
Ukraine,25.7,40.9,19.2,7.6,6.5,0
United States,56.1,30.6,6.8,1.4,3.8,0
Uruguay,50.4,41.9,5.2,1.2,0.4,0.4
