Country,Incomes should be made more equal,2,3,4,5,6,7,8,9,We need larger income differences as incentives for individual effort,Not know
Argentina,13.6,5.6,10.4,11.5,14,10.1,11.9,9.6,3.6,4.1,1.3
Australia,19.2,5,9.7,8.5,17.9,9.2,10.7,10.1,2.3,5.4,0
Brazil,25.9,6,6.9,5.4,12.5,5.7,5.6,7.1,4.3,18.7,1.4
Chile,30.5,11.1,17.4,9.1,9.3,6.6,5.1,4.8,2,2.5,1.2
China,14.9,14,15.2,8.6,8.7,6.6,8,8.7,4.7,4.4,1.6
Taiwan,9.7,2.7,6.6,6.6,14.6,13,16.3,11,3.3,12,3.9
Colombia,17.8,6.1,8.5,8.5,15.9,9.2,10.3,10.4,4.1,8.1,0.7
Georgia,6,6.5,8.2,9.1,13.5,4.6,11.8,13.1,7.9,15.6,3.7
India,48.2,0,17.8,0,14.2,0,7.2,0,5.3,0,7.3
Japan,7.3,2.8,9.7,8.8,24.1,13.4,12.8,7.6,1.3,3.4,9
South Korea,3.8,3.8,7.9,8,9.2,8.4,21.3,17.8,7,12.6,0
Mexico,24.4,4.6,4.1,5.3,14.6,6.8,6,9.3,6,18,0.4
New Zealand,13.1,5.2,10.7,8.3,13.6,8.9,12.4,11.4,3.2,6.4,2.7
Pakistan,11.6,1.7,3.3,3.1,5.8,11.3,14.8,13.3,11.6,23.5,0
Peru,12.7,4.9,6.1,6.8,15.2,8.1,9.2,12.8,8.1,11.9,3
Philippines,14.8,3,2.5,5.2,15.9,8.9,7.8,10.8,4.3,26.8,0
Poland,11.7,4.4,5.5,4.2,9.4,6.9,13.3,15.1,6.1,19.9,3.3
Romania,17.2,5.6,6.7,3.3,10.5,5,6.6,7.7,7.3,26.8,2.7
Russia,34.4,10.4,11.1,8,10.8,5.6,3.8,3.6,1.5,3.5,5.1
Singapore,5.2,6.8,8.4,8.3,16.1,12.2,15.2,16.8,7.7,3.3,0
Slovenia,24.3,14,15.1,12,16.8,5.5,5.7,2.3,0.6,1.3,1.3
South Africa,10.2,2.5,4,7.4,14.5,14.1,13.2,11.4,5.3,14.9,2.5
Spain,10.5,5.7,12.3,10.8,15.4,9.3,14.6,11.7,3.5,4.1,1.5
Sweden,13.4,7,12,10.3,17,8.1,13.2,11.2,2.4,3.8,1.1
Turkey,16.4,11,15.6,10.4,8.3,10.4,8.1,10,4,3.5,0.4
Ukraine,32.3,11.1,14.7,9.1,13.6,5.3,3.5,4.8,1.7,3.8,0
United States,9.2,4.8,7.8,7.8,18.3,14.1,11.7,12,4.6,7.9,0
Uruguay,14.7,6,11.9,11,13.8,5.9,4.6,10.6,8.3,8.4,3.8
