Country,Married,Living together as married,Divorced,Separated,Widowed,Single
Argentina,34.8,17.4,3.8,6.5,8.2,29.3
Australia,53,10.8,5.1,2.7,4.2,23.3
Brazil,41.6,18.2,4.1,5.3,6.3,24.1
Chile,47.7,12.4,2.3,5.9,5.4,25.8
China,83.6,0.9,1.3,0.2,3.2,10.9
Taiwan,60.2,1.4,3.5,0.1,5.2,29.4
Colombia,29,29.5,1.7,7.3,3.8,28.7
Georgia,61.9,2.7,3.2,1.2,11.3,19.6
India,85.5,1.3,0.2,0.3,2.3,10.4
Japan,67.6,1.8,5.1,0.7,5.1,18.9
South Korea,62.7,1,2.3,0.5,5.7,27
Mexico,45.5,18.2,2.3,5.6,3.9,24.6
New Zealand,56.7,13.4,4,2.4,5.8,14.1
Pakistan,73.5,0,0.2,0.5,1.3,24.6
Peru,32.4,24.4,2.3,5.2,4.3,31.5
Philippines,70.1,7.6,0.3,3.1,5.8,13.2
Poland,57.5,4.5,4,1.1,10.9,21.4
Romania,58.8,7,4.7,1,10.6,17.5
Russia,48.3,6.5,13,1.9,12.6,17
Singapore,62.2,2.7,2.2,0.5,2.5,29.8
Slovenia,52.4,13,3.6,0.5,9.3,20.5
South Africa,33.8,9.9,1.3,0.6,6.7,47.6
Spain,49.7,8.8,4.2,2.8,7.1,27.3
Sweden,40.9,17.7,6.1,4.6,5,24.1
Turkey,68.4,0.8,2.7,0.5,4.5,23
Ukraine,53.6,3.7,9.8,1.4,15.2,16.4
United States,54.4,9.9,9.6,2.3,4.7,19.2
Uruguay,34.7,20.3,7,4.9,9,24.1
